City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Busselton,0,AU,1541293456,100,-33.64,115.35,62.34,11.59
Hilo,40,US,1541289360,69,19.71,-155.08,82.04,11.41
Vaini,56,IN,1541293456,95,15.34,74.49,71.34,3.6
Kruisfontein,0,ZA,1541293249,70,-34,24.73,65.09,11.14
Upernavik,8,GL,1541291680,100,72.79,-56.15,19.5,11.36
Tiarei,40,PF,1541291400,70,-17.53,-149.33,84.2,16.11
Rikitea,44,PF,1541293457,95,-23.12,-134.97,75.26,21.43
Kapaa,75,US,1541289360,63,22.08,-159.32,84.02,14.99
Plouzane,90,FR,1541291400,87,48.38,-4.62,53.6,16.11
Ribeira Grande,64,PT,1541293457,99,38.52,-28.7,68.01,18.52
Mount Vernon,1,US,1541290500,52,40.91,-73.84,53.96,8.05
Herne,8,DE,1541292600,82,51.54,7.22,33.8,3.36
Thompson,90,CA,1541289600,92,55.74,-97.86,21.2,5.82
Bredasdorp,100,ZA,1541289600,55,-34.53,20.04,64.4,4.7
Yanam,68,IN,1541293458,88,16.73,82.22,77.96,6.55
Hami,0,CN,1541293242,69,42.84,93.51,20.67,5.55
Chokurdakh,44,RU,1541293458,60,70.62,147.9,-12.5,4.54
Nikolskoye,40,RU,1541289600,86,59.7,30.79,41,13.42
Laguna,75,MX,1541288400,37,27.52,-110.01,84.2,6.93
Kargasok,68,RU,1541293459,73,59.06,80.87,16.31,5.55
Jamestown,68,AU,1541291597,50,-33.21,138.6,77.51,6.29
New Norfolk,75,AU,1541289600,54,-42.78,147.06,57.2,10.29
Sorong,8,ID,1541293459,100,-0.86,131.25,82.86,2.59
Barrow,0,AR,1541293459,63,-38.31,-60.23,59.06,5.55
Punta Arenas,75,CL,1541289600,71,-53.16,-70.91,53.6,17.22
Hithadhoo,64,MV,1541293243,100,-0.6,73.08,81.96,3.53
Vila Velha,75,BR,1541293200,78,-3.71,-38.6,80.6,11.41
Mataura,92,NZ,1541293460,87,-46.19,168.86,48.57,24.96
Derzhavinsk,80,KZ,1541293460,94,51.1,66.31,28.77,4.61
Cape Town,75,ZA,1541289600,87,-33.93,18.42,60.8,16.11
Soyo,32,AO,1541293460,93,-6.13,12.37,74.09,3.87
Ritchie,48,ZA,1541289600,42,-29.03,24.6,68,12.75
Karratha,0,AU,1541293020,25,-20.74,116.85,87.68,9.86
Butaritari,0,KI,1541293461,100,3.07,172.79,84.39,7.56
Qaanaaq,20,GL,1541293461,100,77.48,-69.36,2.85,8.34
Hermanus,88,ZA,1541291617,67,-34.42,19.24,59.64,4.21
Port Lincoln,64,AU,1541292948,84,-34.72,135.86,64.14,4.54
Columbia,40,US,1541291700,67,38.95,-92.33,53.06,9.17
Ambulu,76,ID,1541293244,100,-8.35,113.61,78.23,2.48
Puerto Ayora,75,EC,1541289600,69,-0.74,-90.35,77,9.17
Sao Filipe,12,CV,1541293246,94,14.9,-24.5,78.41,15.61
Salalah,0,OM,1541289000,60,17.01,54.1,75.2,3.36
Fairbanks,1,US,1541289480,76,64.84,-147.72,17.96,3.38
Qinhuangdao,56,CN,1541293463,71,39.94,119.59,41.37,6.89
Eyrarbakki,0,IS,1541289600,64,63.86,-21.15,33.8,26.4
Saint-Philippe,90,CA,1541292180,86,45.36,-73.48,39.38,23.04
Kavieng,48,PG,1541293402,100,-2.57,150.8,84.12,8.08
Albany,20,US,1541289300,57,42.65,-73.75,44.96,17.22
Grand Gaube,40,MU,1541289600,83,-20.01,57.66,71.6,5.82
Norman Wells,20,CA,1541289600,84,65.28,-126.83,6.8,8.05
Poum,20,MK,1541293252,86,41.28,20.71,39.71,1.81
Isangel,76,VU,1541293464,100,-19.55,169.27,75.66,17.58
Yellowknife,90,CA,1541289600,85,62.45,-114.38,14,10.29
Paris,80,FR,1541289600,84,48.86,2.35,39.2,2.24
Suez,0,EG,1541293464,82,29.97,32.54,55.14,3.2
Solwezi,80,ZM,1541293464,87,-12.18,26.4,62.52,2.82
Japura,68,ID,1541293465,94,-0.42,102.29,75.44,2.82
Wucheng,88,CN,1541293465,100,29.09,119.57,55.73,2.71
Camacha,75,PT,1541291400,77,33.08,-16.33,64.4,10.29
Castro,92,CL,1541293465,98,-42.48,-73.76,52.13,13.67
Vityazevo,0,RU,1541291400,93,44.99,37.26,41,6.71
Sangar,24,RU,1541293176,74,63.92,127.47,0.06,2.98
Hualmay,36,PE,1541293466,73,-11.1,-77.61,66.75,5.21
Iqaluit,75,CA,1541289600,72,63.75,-68.52,15.8,10.29
Lynn Haven,1,US,1541289480,83,30.25,-85.65,64.22,3.36
Burhaniye,0,TR,1541289000,72,39.51,26.98,59,10.29
Galle,20,US,1541292780,70,29.74,-97.91,71.96,10.29
Razdolnoye,0,RU,1541293467,87,43.7,44.53,32.96,2.08
Cairns,40,AU,1541291400,62,-16.92,145.77,84.2,9.17
Torbay,40,CA,1541289600,93,47.66,-52.73,60.8,19.46
Husavik,12,CA,1541293318,99,50.56,-96.99,28.01,2.98
Ndungu,0,TZ,1541293467,93,-4.38,38.06,60.45,1.7
Port Alfred,8,ZA,1541292880,68,-33.59,26.89,71.66,19.15
Sinnamary,64,GF,1541293468,96,5.38,-52.96,81.38,10.58
Beringovskiy,88,RU,1541293468,100,63.05,179.32,32.01,9.13
Hunchun,0,CN,1541293468,70,42.86,130.36,49.61,5.73
Yakima,90,US,1541289180,57,46.6,-120.51,57.02,0.81
Bjornevatn,68,NO,1541290800,94,69.67,29.98,32,2.24
Voh,0,NC,1541293468,81,-20.95,164.69,78.45,7.07
Tuktoyaktuk,75,CA,1541289600,84,69.44,-133.03,1.4,8.05
Dikson,36,RU,1541293469,97,73.51,80.55,23.78,17.58
Pangoa,8,PE,1541293469,88,-12.12,-73,70.76,2.71
Ushuaia,75,AR,1541286000,50,-54.81,-68.31,53.6,23.04
Awjilah,0,LY,1541293469,83,29.14,21.3,55.59,2.86
Necochea,0,AR,1541293325,79,-38.55,-58.74,58.47,6.06
Mirnyy,88,RU,1541293469,98,56.57,36.46,46.46,13.56
Ilulissat,80,GL,1541289000,72,69.22,-51.1,17.6,18.34
Mogadishu,0,SO,1541293469,99,2.04,45.34,80.84,4.27
Byron Bay,0,AU,1541291400,61,-28.65,153.62,80.6,9.17
Christchurch,64,NZ,1541291400,36,-43.53,172.64,64.4,16.11
Constitucion,40,MX,1541288460,11,23.99,-104.67,75.2,5.82
Gambela,8,ET,1541293470,81,8.25,34.59,61.98,2.37
Bethel,40,US,1541289180,72,60.79,-161.76,32,6.93
Semikarakorsk,44,RU,1541293471,90,47.52,40.81,42,7.4
Havoysund,20,NO,1541290800,86,71,24.66,37.4,9.17
Luderitz,48,NA,1541289600,72,-26.65,15.16,60.8,9.17
Lagoa,0,PT,1541291400,93,37.14,-8.45,55.4,2.24
Coihaique,90,CL,1541289600,93,-45.58,-72.07,46.4,7.23
Grenville,90,CA,1541289600,78,45.62,-74.6,39.2,14.99
Makakilo City,1,US,1541289420,51,21.35,-158.09,84.92,11.41
Margate,75,AU,1541291400,51,-43.03,147.26,59,14.99
Deputatskiy,56,RU,1541293472,43,69.3,139.9,-15.24,2.59
Bandarbeyla,92,SO,1541291884,100,9.49,50.81,79.13,14.83
Barra,8,BR,1541293472,54,-11.09,-43.14,79.89,5.21
Kaura Namoda,12,NG,1541293473,64,12.59,6.58,65.81,2.75
Airai,0,TL,1541293400,66,-8.93,125.41,79.58,2.26
Saint George,20,GR,1541289000,82,39.45,22.34,55.4,3.36
Rome,0,IT,1541290800,59,41.89,12.48,66.2,10.29
Sawakin,0,SD,1541293473,93,19.1,37.33,73.77,6.51
Baykit,56,RU,1541293397,71,61.68,96.39,11.76,10.36
Kahului,20,US,1541289360,53,20.89,-156.47,87.08,25.28
Maldonado,0,UY,1541289600,87,-34.91,-54.96,59,2.24
Talnakh,64,RU,1541293474,79,69.49,88.39,-1.29,2.53
Talaya,20,RU,1541293474,90,55.79,84.89,14.33,8.01
Dolgoderevenskoye,75,RU,1541291400,80,55.34,61.34,35.6,11.18
Klaksvik,92,FO,1541290800,87,62.23,-6.59,48.2,23.04
Los Llanos de Aridane,44,ES,1541291400,64,28.66,-17.92,71.6,17.22
Bubaque,0,GW,1541292952,97,11.28,-15.83,85.74,10.92
Lata,32,IN,1541293475,100,30.78,78.62,38.85,1.81
Borogontsy,56,RU,1541293475,60,62.67,131.17,10.32,10.31
Oeiras do Para,76,BR,1541293475,80,-2,-49.85,81.96,8.3
Viking,8,CA,1541293475,86,53.1,-111.78,28.46,3.2
Aklavik,20,CA,1541289600,77,68.22,-135.01,5,4.54
Soverato,40,IT,1541289000,77,38.69,16.55,68,21.92
Bereda,44,ES,1541291400,93,43.27,-7.54,53.6,5.82
Atuona,0,PF,1541293476,100,-9.8,-139.03,80.39,12.59
Novyy Urengoy,0,RU,1541293476,75,66.08,76.63,5.64,11.32
Basqal,0,AZ,1541293477,94,40.75,48.39,25.13,1.97
Paso de los Toros,0,UY,1541293477,74,-32.81,-56.52,65.54,6.78
Shache,44,CN,1541293096,87,38.42,77.24,23.55,0.29
Khurba,32,RU,1541293477,71,50.41,136.89,26.07,6.51
Ilinskiy,90,RU,1541291400,93,55.62,38.12,46.4,11.18
Kholm,92,RU,1541293478,95,57.15,31.18,43.08,10.02
Brae,68,GB,1541292600,93,60.4,-1.35,51.8,21.92
Pevek,80,RU,1541291850,100,69.7,170.27,12.12,4.88
Goderich,92,CA,1541293394,86,43.74,-81.71,41.19,12.59
Tiksi,68,RU,1541293479,70,71.64,128.87,-1.83,9.57
Havelock,1,US,1541289480,80,34.88,-76.9,55.94,3.36
Luanda,75,AO,1541289600,88,-8.83,13.24,75.2,2.24
Kommunar,40,RU,1541291400,93,59.62,30.39,41,6.71
Faya,40,SA,1541289600,82,18.39,42.45,57.2,3.27
Codrington,0,AU,1541291785,62,-28.95,153.24,84.93,5.39
Nouadhibou,36,MR,1541289600,88,20.93,-17.03,66.2,11.41
Agadez,0,NE,1541293480,20,16.97,7.99,61.76,3.31
Richards Bay,0,ZA,1541293480,81,-28.77,32.06,62.39,13.15
Ixtapa,90,MX,1541290500,83,20.71,-105.21,80.6,14.99
Viedma,24,AR,1541293480,42,-40.81,-62.99,64.86,11.65
Mahebourg,40,MU,1541289600,83,-20.41,57.7,71.6,5.82
Avera,1,US,1541291700,94,33.19,-82.53,59,3.53
Takoradi,88,GH,1541293481,100,4.89,-1.75,79.35,4.05
Khatanga,76,RU,1541293481,85,71.98,102.47,4.83,12.82
Bonfim,0,BR,1541289600,50,-20.33,-44.24,77,3.36
Bluff,0,AU,1541293481,46,-23.58,149.07,84.44,6.78
Batagay-Alyta,12,RU,1541293482,33,67.8,130.41,-24.33,2.37
Rosarito,75,CO,1541289600,100,4.91,-75.23,71.6,2.24
Uddevalla,64,SE,1541290800,93,58.35,11.94,42.8,8.05
Salinas,1,US,1541291700,23,36.67,-121.66,77,9.17
Cherskiy,24,RU,1541293482,78,68.75,161.3,-7.73,2.86
Peleduy,80,RU,1541293483,67,59.63,112.75,18.56,8.79
Sao Felix do Xingu,44,BR,1541293234,92,-6.64,-51.99,77.1,2.04
Vigrestad,90,NO,1541290800,76,58.57,5.7,51.8,24.16
Moose Factory,75,CA,1541289600,86,51.26,-80.61,28.4,5.82
Pisco,40,PE,1541289600,82,-13.71,-76.2,66.2,16.11
Faanui,8,PF,1541293483,100,-16.48,-151.75,82.01,6.29
Mount Gambier,92,AU,1541293023,78,-37.83,140.78,60.18,6.73
Carnarvon,56,ZA,1541293484,39,-30.97,22.13,69.9,11.81
Gadung,12,ID,1541293484,100,-7.32,112.63,79.98,3.71
Aksarka,56,RU,1541293484,76,66.56,67.8,13.47,5.77
Hobart,75,AU,1541291400,51,-42.88,147.33,59,14.99
Muros,75,ES,1541291400,100,42.77,-9.06,50,3.36
Talara,32,PE,1541293484,71,-4.58,-81.27,72.78,11.25
Wanaka,44,NZ,1541293485,60,-44.7,169.14,45.6,9.91
Sandy Bay,75,AU,1541291400,51,-42.9,147.33,59,14.99
Maracacume,20,BR,1541293285,80,-2.04,-45.96,79.17,8.9
Iskateley,80,RU,1541293485,98,67.68,53.15,26.39,9.8
Avarua,75,CK,1541289600,69,-21.21,-159.78,77,13.87
Dingle,36,PH,1541293486,82,11,122.67,81.15,10.92
Bolitoc,0,PH,1541293486,94,15.74,119.88,79.89,3.2
Olinda,40,EC,1541289600,74,-2.03,-79.75,78.8,10.29
Snizhne,64,UA,1541293486,88,48.02,38.76,35.48,2.86
Naryan-Mar,92,RU,1541293368,100,67.67,53.09,26.34,10.54
Ostersund,36,SE,1541290800,87,63.18,14.64,35.6,6.93
Axim,76,GH,1541293487,100,4.87,-2.24,80.39,6.06
Arraial do Cabo,12,BR,1541293435,83,-22.97,-42.02,77.19,20.04
Westport,92,IE,1541293112,98,53.8,-9.52,49.43,25.93
Poshekhonye,92,RU,1541293487,98,58.5,39.12,43.71,12.1
Gannan,0,CN,1541293487,49,47.92,123.49,21.93,10.09
Impfondo,48,CD,1541293025,99,1.62,18.06,70.76,2.26
Clyde River,90,CA,1541289600,78,70.47,-68.59,8.6,10.29
Leningradskiy,76,RU,1541293020,97,69.38,178.42,28.77,14.67
Aswan,0,EG,1541289600,18,24.09,32.9,73.4,6.93
Severobaykalsk,64,RU,1541293488,67,55.65,109.32,9.83,4.72
Dehui,75,CN,1541289600,64,44.53,125.71,37.4,8.95
Tasiilaq,56,GL,1541292600,53,65.61,-37.64,21.2,4.7
